model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet50,FP16,8,25W,18.30976,2.262168121874247,0.0066714822196814,7.593152159320011,0
resnet50,FP16,8,25W,17.80224,2.264017497372644,0.0101100898087373,7.537529293529755,0
resnet50,FP16,8,MAXN,20.03968,0.7256071259301323,0.3049369308150724,26.7912577796823,0
resnet50,FP16,8,MAXN,20.000768,0.7290552764057958,0.1918515224586875,26.802372553736877,0
resnet50,FP16,8,MAXN,19.961856,0.7295554189203366,0.194142216171109,26.79135143483381,0
resnet50,FP16,8,MAXN,18.90336,2.3600813822578166,0.000383168185594,7.68194925030046,0
resnet50,FP16,8,MAXN,18.942336,2.347721567342276,-0.0124946615784531,7.716845726659671,0
resnet50,FP16,8,MAXN,18.981312000000003,2.3594093077726424,0.0002138780980496,7.702040082185069,0
resnet50,FP16,16,15W,14.476608,1.388070092812368,-0.0083938627173632,10.18458519876052,0
resnet50,FP16,16,15W,14.358912,1.384435899116751,-0.0122477724312189,10.231185354615366,0
resnet50,FP16,16,15W,14.201984,1.383317395817539,-4.078146631357347e-05,10.187999600830372,0
resnet50,FP16,16,15W,14.358912,4.230969149569472,-0.016070868205686,3.297553701812852,0
resnet50,FP16,16,15W,14.437376,4.194735728316828,-0.0087640417179072,3.2894122863924253,0
resnet50,FP16,16,15W,14.358912,4.197918732204025,-0.0017790030849939,3.318262872347296,0
resnet50,FP16,16,25W,18.669504,1.288227886945606,0.1727947677161828,14.337730768664391,0
resnet50,FP16,16,25W,18.70848,1.293351369824721,0.1079550170861189,14.297244226153186,0
resnet50,FP16,16,25W,18.70848,1.2910115838827838,0.0970911644773676,14.334356349938831,0
resnet50,FP16,16,25W,18.825408,3.9013600167045466,0.0195271822710399,4.63464348980584,0
resnet50,FP16,16,25W,18.864384,3.919570922446389,0.0099726502884806,4.600811908332392,0
resnet50,FP16,16,25W,18.942336,3.922793581343144,0.0119838273023936,4.623577862956235,0
resnet50,FP16,16,MAXN,20.084416,1.3255741038649484,0.1439683145875839,14.947462329065711,0
resnet50,FP16,16,MAXN,20.084416,1.3286720160059526,0.076608609397225,14.951687582280282,0
resnet50,FP16,16,MAXN,20.084416,1.3288496148908238,0.0725964517298884,14.961210494449482,0
resnet50,FP16,16,MAXN,20.356352,4.002236394896182,0.0069218366617126,4.8789474281819984,0
resnet50,FP16,16,MAXN,20.356352,4.014599527480378,-0.0018182579053698,4.851603373039154,0
resnet50,FP16,16,MAXN,20.317504,4.008739221727223,0.0013589662471764,4.8689728221302655,0
resnet50,FP32,1,15W,13.046272,0.277783304783422,0.1886123685918381,44.752602952134886,0
resnet50,FP32,1,15W,13.006976,0.2791191327285754,0.0627784815162878,45.13477643685922,0
resnet50,FP32,1,15W,13.006976,0.2797510164496691,0.1102147547555219,44.8654472987231,0
resnet50,FP32,1,15W,11.275264,1.3236767251076684,-0.1106583812922737,8.008374890660455,0
resnet50,FP32,1,15W,11.03872,1.320626867521179,-0.0697217798379397,8.000118042914908,0
resnet50,FP32,1,15W,10.959872,1.2968267730888805,-0.0518436244211229,8.21087053619142,0
resnet50,FP32,1,25W,11.945472,0.2802101238211401,0.1298379056559883,41.46384801630301,0
resnet50,FP32,1,25W,11.984896,0.28225837879372,0.0866608552308693,41.33541213713826,0
resnet50,FP32,1,25W,12.02432,0.2814539919656688,0.1261507622998386,41.38716030747059,0
resnet50,FP32,1,25W,11.551232,1.307410298575935,-0.0475162773792277,8.041177548901555,0
resnet50,FP32,1,25W,11.43296,1.2784259129581752,-0.0231455250625917,8.33253506999281,0
resnet50,FP32,1,25W,11.8272,1.2988350835742175,-0.0333503195063144,8.11026175348351,0
resnet50,FP32,1,MAXN,14.868928,0.2671174307587475,0.6515644651677491,51.92551521345265,0
resnet50,FP32,1,MAXN,14.790464,0.2690380160299265,0.405614865936022,52.56316083757502,0
